1 	Microsoft	 54,270 	10.6% 	67,383 	80.5%
2 	IBM	 22,485 	5.1% 	99,870 	22.5%
3 	Oracle	 20,958 	12.8% 	30,180 	69.4%
4 	SAP	 12,558 	10.5% 	16,654 	75.4%
5 	Ericsson	 7,274 	-4.2% 	30,307 	24.0%
6 	HP	 6,669 	7.9% 	126,562 	5.3%
7 	Symantec	 5,636 	1.3% 	6,013 	93.7%
8 	Nintendo	 5,456 	-19.8% 	13,766 	39.6%
9 	Activision Blizzard	 4,447 	3.9% 	4,447 	100.0%
10 	EMC	 4,356 	10.0% 	17,015 	25.6%
11 	Nokia Siemens Networks	 4,229 	-6.6% 	16,918 	25.0%
12 	CA	 4,136 	3.1% 	4,454 	92.9%
13 	Electronic Arts	 3,413 	-8.4% 	3,413 	100.0%
14 	Adobe	 3,177 	13.6% 	3,826 	83.0%
15 	Alcatel-Lucent	 2,561 	-4.6% 	21,374 	12.0%
16 	Cisco	 2,383 	11.5% 	41,045 	5.8%
17 	Sony	 2,083 	8.8% 	83,039 	2.5%
18 	Hitachi	 1,939 	22.0% 	113,500 	1.7%
19 	Dassault	 1,885 	19.0% 	2,090 	90.2%
20 	BMC	 1,843 	4.8% 	1,981 	93.0%
21 	SunGard	 1,762 	-11.7% 	4,992 	35.3%
22 	Autodesk	 1,701 	9.2% 	1,932 	88.0%
23 	Konami	 1,643 	3.1% 	3,122 	52.6%
24 	Salesforce.com	 1,523 	27.9% 	1,628 	93.6%
25 	Sage	 1,485 	-4.6% 	2,228 	66.7%
26 	Ubisoft	 1,441 	15.4% 	1,441 	100.0%
27 	VMWare	 1,399 	36.0% 	2,851 	49.1%
28 	Apple	 1,358 	11.5% 	75,660 	1.8%
29 	Infor	 1,350 	-14.3% 	1,800 	75.0%
30 	Intuit	 1,326 	2.5% 	3,133 	42.3%
31 	Citrix	 1,302 	13.8% 	1,875 	69.4%
32 	Synopsys	 1,237 	2.9% 	1,394 	88.7%
33 	SAS Institute	 1,215 	5.2% 	2,430 	50.0%
34 	NCR	 1,202 	7.6% 	4,819 	24.9%
35 	General Electric	 1,200 	0.0% 	150,211 	0.8%
36 	Take 2 Interactive	 1,189 	29.8% 	1,189 	100.0%
37 	Trend Micro	 1,085 	5.4% 	1,085 	100.0%
38 	McAfee	 1,032 	7.1% 	2,065 	50.0%
39 	Wolters Kluwer	 999 	-4.4% 	4,752 	21.0%
40 	Namco Bandai Games	 943 	9.7% 	4,706 	20.0%
41 	Check Point	 935 	12.1% 	1,098 	85.2%
42 	Teradata	 933 	20.9% 	1,936 	48.2%
43 	Software AG	 931 	11.4% 	1,496 	62.2%
44 	Qualcomm	 928 	12.3% 	11,591 	8.0%
45 	Thales Computers	 877 	-5.5% 	17,538 	5.0%
46 	Cadence	 835 	11.9% 	936 	89.2%
47 	Cegedim Dendrite	 800 	-3.0% 	1,238 	64.6%
48 	Siemens	 800 	0.0% 	102,183 	0.8%
49 	Sega Sammy Holdings	 798 	-4.5% 	4,996 	16.0%
50 	Cerner	 786 	5.2% 	1,850 	42.5%
51 	Capcom	 783 	2.1% 	1,107 	70.7%
52 	Square Enix	 766 	-16.4% 	1,799 	42.6%
53 	THQ	 766 	-15.7% 	766 	100.0%
54 	Open Text	 761 	10.0% 	941 	80.9%
55 	Wincor Nixdorf	 752 	-0.7% 	3,087 	24.4%
56 	Red Hat	 751 	20.7% 	882 	85.1%
57 	Intel Corporation	 751 	54.8% 	43,623 	1.7%
58 	Reynolds & Reynolds	 744 	0.0% 	967 	76.9%
59 	Fujitsu	 729 	8.6% 	56,156 	1.3%
60 	F5	 720 	39.5% 	960 	75.0%
61 	Novell	 717 	-4.5% 	804 	89.2%
62 	NetApp	 702 	7.2% 	4,501 	15.6%
63 	Shanda Interactive Entertainment	 680 	-3.4% 	846 	80.4%
64 	Nuance	 673 	19.3% 	1,143 	58.9%
65 	Compuware	 665 	1.4% 	902 	73.7%
66 	Nexon Corporation	 608 	0.0% 	608 	100.0%
67 	Autonomy	 580 	17.6% 	870 	66.7%
68 	NCSoft	 579 	5.5% 	579 	100.0%
69 	Intergraph	 578 	0.0% 	770 	75.1%
70 	Solera Holdings	 578 	8.2% 	643 	89.9%
71 	Philips	 575 	1.8% 	33,965 	1.7%
72 	Misys	 571 	45.3% 	857 	66.6%
73 	Rockwell Automation	 564 	30.6% 	5,639 	10.0%
74 	Informatica	 562 	28.3% 	650 	86.5%
75 	Avid	 560 	10.0% 	679 	82.5%
76 	SAIC	 555 	3.0% 	11,094 	5.0%
77 	Mentor Graphics	 555 	16.4% 	905 	61.3%
78 	McKesson	 551 	-0.4% 	110,407 	0.5%
79 	Google Inc.	 543 	42.5% 	29,321 	1.9%
80 	PTC (Parametric)	 540 	13.2% 	1,024 	52.7%
81 	Kaspersky Lab	 500 	4.2% 	500 	100.0%
82 	Lawson	 486 	6.3% 	734 	66.2%
83 	Verint	 483 	3.2% 	725 	66.6%
84 	Totvs	 478 	11.4% 	681 	70.2%
85 	Progress	 477 	7.2% 	530 	90.0%
86 	Sopra Group	 473 	2.6% 	1,563 	30.3%
87 	Quest	 469 	12.2% 	767 	61.1%
88 	Epic Systems Corporation	 451 	0.0% 	601 	75.0%
89 	Tibco	 451 	21.9% 	753 	59.9%
90 	Aspect Communications	 450 	0.0% 	600 	75.0%
91 	Diebold	 443 	7.3% 	2,824 	15.7%
92 	Ansys	 427 	11.5% 	580 	73.6%
93 	Emerson	 421 	16.0% 	21,314 	2.0%
94 	Blackboard Inc.	 413 	20.8% 	447 	92.4%
95 	The MathWorks	 400 	49.8% 	600 	66.7%
96 	ESRI	 397 	2.3% 	794 	50.0%
97 	Constellation Software	 390 	32.7% 	631 	61.8%
98 	Inspur	 378 	0.0% 	3,784 	10.0%
99 	Acision	 375 	0.0% 	500 	75.0%
100 	NetEase.com	 375 	51.8% 	857 	43.8%

